category,subcategory,group,name,company,country,price,url,timestamp
Главная,Лекарственные средства и БАДы,,"Мукоза Композитум 2,2 мл №5 раствор для инъекций в ампулах",Biologische Heilmittel Heel GmbH,Германия,"8 330 ₸
+249",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/a5472e9d-636b-11e6-bf1a-001e67922ec2,2026-08-14 13:01:16
Главная,Лекарственные средства и БАДы,,Лимфомиозот Н 30 мл капли д/приема внутрь,Биологише Хайльмиттель Хеель ГмбХ,Германия,"6 070 ₸
+182",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/911f7d53-7e14-11e1-8899-001517a83f0d,2026-08-14 13:01:18
Главная,Лекарственные средства и БАДы,,Мастодинон №60 табл.,Bionorica CE/ Rottendorf Pharma GmbH,Германия,"5 240 ₸
+157",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/33e6e4a5-fffd-11d9-8a55-000ea6bb2e96,2026-08-14 13:01:19
Главная,Лекарственные средства и БАДы,,Тенотен №40 табл. гомеоп.,Материа Медика Холдинг,РОССИЯ,"2 190 ₸
+65",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/2975918f-c9f4-11df-b2c3-0015170f24c8,2026-08-14 13:01:21
Главная,Лекарственные средства и БАДы,,Тонзипрет №50 табл.,Bionorica CE/ Rottendorf Pharma GmbH,Германия,"2 490 ₸
+74",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/c5c1164b-d920-11dc-b727-0015170f24c9,2026-08-14 13:01:23
Главная,Лекарственные средства и БАДы,,Тенотен детский №40 табл. гомеоп.,Материа Медика Холдинг,РОССИЯ,"2 230 ₸
+66",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/29759194-c9f4-11df-b2c3-0015170f24c8,2026-08-14 13:01:24
Главная,Лекарственные средства и БАДы,,"Гепар Комп. Хеель 2,2 мл №5 раствор для инъекций в ампулах",Biologische Heilmittel Heel GmbH,Германия,"6 990 ₸
+209",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/a5472e96-636b-11e6-bf1a-001e67922ec2,2026-08-14 13:01:25
Главная,Лекарственные средства и БАДы,,Дормикинд №150 табл. гомеоп.,Др.Густав Кляйн ГмбХ и Ко.КГ,Германия,"3 140 ₸
+94",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/408b8cbc-eb25-11df-bf6a-001517a83f0d,2026-08-14 13:01:27
Главная,Лекарственные средства и БАДы,,Афала №100 табл.,Материа Медика Холдинг,РОССИЯ,"3 630 ₸
+108",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/2975918b-c9f4-11df-b2c3-0015170f24c8,2026-08-14 13:01:28
Главная,Лекарственные средства и БАДы,,Афлубин №24 табл. гомеоп.,Рихард Биттнер АГ,Австрия,"2 890 ₸
+86",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/bfc3e076-b3a0-11e1-99df-001517a83f0d,2026-08-14 13:01:29
Главная,Лекарственные средства и БАДы,,"Траумель С 2,2 мл №5 раствор для инъекций в ампулах",Biologische Heilmittel Heel GmbH,Германия,"5 390 ₸
+161",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/2d37cc74-69a7-11e6-bf1a-001e67922ec2,2026-08-14 13:01:31
Главная,Лекарственные средства и БАДы,,Циннабсин №100 табл.,Deutsche Homoopathie Union,Германия,"3 460 ₸
+103",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/3e9c3cca-98dc-11dd-a118-0015170f24c9,2026-08-14 13:01:32
Главная,Лекарственные средства и БАДы,,Тонзилотрен №60 табл.,Deutsche Homoopathie Union,Германия,"2 080 ₸
+62",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/dc891553-d9ee-11dc-b727-0015170f24c9,2026-08-14 13:01:34
Главная,Лекарственные средства и БАДы,,Фарингомед №20 табл.д/рассас.,Материа Медика Холдинг,РОССИЯ,"890 ₸
+26",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/c0858bd8-5d7c-11e3-ba6f-001517a83f0d,2026-08-14 13:01:35
Главная,Лекарственные средства и БАДы,,Мастодинон 100 мл капли д/приема внутрь,Bionorica CE,Германия,"6 720 ₸
+201",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/33e6e4a1-fffd-11d9-8a55-000ea6bb2e96,2026-08-14 13:01:36
Главная,Лекарственные средства и БАДы,,Иммунокинд №150 табл. гомеоп.,Дойче Хомеопати-Унион ДХУ-Арцнаймиттель Гмбх & Ко. КГ,Германия,"3 470 ₸
+104",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/408b8cb7-eb25-11df-bf6a-001517a83f0d,2026-08-14 13:01:37
Главная,Лекарственные средства и БАДы,,Инфлюцид №40 табл.,Dr. Gustav Klein GmbH & Co.KG,Германия,"3 420 ₸
+102",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/af03d4a6-c929-11f0-9a2a-b483511313df,2026-08-14 13:01:38
Главная,Лекарственные средства и БАДы,,Успокой №20 табл. гомеоп.,Материа Медика Холдинг,РОССИЯ,"850 ₸
+25",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/c441a0f0-8d21-11e2-80e0-001517a83f0d,2026-08-14 13:01:39
Главная,Лекарственные средства и БАДы,,Инфлюцид №60 табл.,Deutsche Homoopathie Union,Германия,"3 340 ₸
+100",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/c0676afc-c0e6-11dd-9037-0015170f24c9,2026-08-14 13:01:41
Главная,Лекарственные средства и БАДы,,Траумель С 50 г мазь в тубе наруж.,Biologische Heilmittel Heel GmbH,Германия,"5 280 ₸
+158",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/2d37cc7e-69a7-11e6-bf1a-001e67922ec2,2026-08-14 13:01:43
Главная,Лекарственные средства и БАДы,,Афлубин №12 табл. гомеоп.,Рихард Биттнер АГ,Австрия,"1 890 ₸
+56",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/18f12ba4-cfd2-11dc-b727-0015170f24c9,2026-08-14 13:01:48
Главная,Лекарственные средства и БАДы,,Галстена 20 мл капли д/приема внутрь,Рихард Биттнер АГ,Австрия,"3 290 ₸
+98",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/18f12bb2-cfd2-11dc-b727-0015170f24c9,2026-08-14 13:01:49
Главная,Лекарственные средства и БАДы,,Мастодинон 50 мл капли д/приема внутрь,Bionorica CE,Германия,"3 740 ₸
+112",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/33e6e4a3-fffd-11d9-8a55-000ea6bb2e96,2026-08-14 13:01:50
Главная,Лекарственные средства и БАДы,,"Коэнзим Композитум 2,2 мл №5 раствор для инъекций в ампулах",Biologische Heilmittel Heel GmbH,Германия,"4 860 ₸
+145",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/994563c6-25e3-11e8-9498-a4bf01347999,2026-08-14 13:01:51
Главная,Лекарственные средства и БАДы,,Афлубин 50 мл капли д/приема внутрь,Рихард Биттнер АГ,Австрия,"4 840 ₸
+145",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/18f12ba2-cfd2-11dc-b727-0015170f24c9,2026-08-14 13:01:52
Главная,Лекарственные средства и БАДы,,Киндинорм 10 г гран. гомеоп.,Дойче Хомеопати-Унион ДХУ-Арцнаймиттель Гмбх & Ко. КГ,Германия,2 220 ₸,https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/1d9d231d-6000-11e0-afb9-001517a83f0d,2026-08-14 13:01:53
Главная,Лекарственные средства и БАДы,,Грипп Хеель №50 табл.,Biologische Heilmittel Heel GmbH,Германия,"4 180 ₸
+125",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/4489905f-62dc-11e6-bf1a-001e67922ec2,2026-08-14 13:01:55
Главная,Лекарственные средства и БАДы,,Афлубин 20 мл капли д/приема внутрь,Рихард Биттнер АГ,Австрия,"2 480 ₸
+74",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/18f12b96-cfd2-11dc-b727-0015170f24c9,2026-08-14 13:01:56
Главная,Лекарственные средства и БАДы,,Гентос 50 мл капли д/приема внутрь,Рихард Биттнер АГ,Австрия,"5 890 ₸
+176",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/18f12bb4-cfd2-11dc-b727-0015170f24c9,2026-08-14 13:01:57
Главная,Лекарственные средства и БАДы,,Энгистол №50 табл.,Biologische Heilmittel Heel GmbH,Германия,"4 290 ₸
+128",https://biosfera.kz/ru/catalog/lekarstvennye-sredstva-i-bady/gomeopaticheskie-preparaty/2d37cc6e-69a7-11e6-bf1a-001e67922ec2,2026-08-14 13:01:59
Главная,Лекарственные средства и БАДы,,Аммиака 10% 20 мл р-р флак.,Шаншаров-Фарм,КАЗАХСТАН,"130 ₸
+3",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/5b304225-600b-11e8-84c1-a4bf01347999,2026-08-14 13:02:04
Главная,Лекарственные средства и БАДы,,Аммиака 10% 20 мл р-р флак.,Фармация 2010 ТОО,КАЗАХСТАН,"160 ₸
+4",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/f37419b5-27ae-11dd-93dc-0015170f24c9,2026-08-14 13:02:05
Главная,Аптечка путешественника,,Драмина 50 мг №10 табл.,Ядран Галенский Лабораторий АО,Хорватия,"2 490 ₸
+74",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/f82bb7ed-6966-11db-975e-000e0c3ccf08,2026-08-14 13:02:06
Главная,Лекарственные средства и БАДы,,Аммиака 10% 40 мл р-р флак.,Шаншаров-Фарм,КАЗАХСТАН,"120 ₸
+3",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/9d5fc96e-2b7a-11ee-bc18-a4bf016846bc,2026-08-14 13:02:07
Главная,Лекарственные средства и БАДы,,"Карандаш для ароматерапии ""Дорожный"" 1,3 г ""KLEO""",Олеос ООО,РОССИЯ,"550 ₸
Биобонусы
+43
Биобонусов
Повышенный бонус",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/2246368d-9702-11e9-bba1-a4bf016846bc,2026-08-14 13:02:09
Главная,Лекарственные средства и БАДы,,Аммиака 10% 20 мл р-р флак.,Султан,КАЗАХСТАН,"120 ₸
+3",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/d4244202-49c2-11eb-bbe1-a4bf016846bc,2026-08-14 13:02:10
Главная,Аптечка путешественника,,Драмина 50 мг №5 табл.,Ядран Галенский Лабораторий АО,Хорватия,"1 950 ₸
+58",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/f82bb7e9-6966-11db-975e-000e0c3ccf08,2026-08-14 13:02:11
Главная,Лекарственные средства и БАДы,,Аммиака 10% 50 мл раствор для наружного применения,Фармация 2010 ТОО,КАЗАХСТАН,"210 ₸
+6",https://biosfera.kz/ru/catalog/raznoe/ot-ukachivaniya-hrapa/66c75f14-5be6-11f0-9a2a-b483511313df,2026-08-14 13:02:12
Главная,Лекарственные средства и БАДы,,"Примовист® 0,25ммоль/мл 10 мл р-р для в/в введения",Байер АГ,Германия,"61 640 ₸
+1849",https://biosfera.kz/ru/catalog/raznoe/diagnosticheskie-sredstva/757ebfd5-e536-11ef-9a27-b483511313df,2026-08-14 13:02:18
Главная,Лекарственные средства и БАДы,,Коррида 500 мг №100 табл.,Эвалар,РОССИЯ,"4 090 ₸
+122",https://biosfera.kz/ru/catalog/vrednye-privychki/tabakokurenie/25b09fd6-fffd-11d9-8a55-000ea6bb2e96,2026-08-14 13:02:26
Главная,Лекарственные средства и БАДы,,Vita-vent Эликсир для курящих 25 мл фитобальзам масляный,Витавент,КАЗАХСТАН,"3 270 ₸
+98",https://biosfera.kz/ru/catalog/vrednye-privychki/tabakokurenie/0c83f87f-24b8-11f0-9a2a-b483511313df,2026-08-14 13:02:28
Главная,Лекарственные средства и БАДы,,Антиполицай №4 карамель,БиоВид ООО/ИНАТ-ФАРМА ООО,РОССИЯ,"790 ₸
+23",https://biosfera.kz/ru/catalog/vrednye-privychki/tabakokurenie/ce824312-fffc-11d9-8a55-000ea6bb2e96,2026-08-14 13:02:29
